LCSC Part Number,Manufacturer,Package,Description,Order Qty.,Unit Price($),Component Type,Component Branch,Capacitance,Resistance,Voltage,Tolerance,Inductance,Current/Power
C25138,UNI-ROYAL(Uniroyal Elec),0402,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±5% 100Ω 0402 Chip Resistor - Surface Mount ROHS,100,0.0005,Resistor,Chip Resistor - Surface Mount,,100Ohm,50V,±5%,,
C4109,UNI-ROYAL(Uniroyal Elec),0402,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 2kΩ 0402 Chip Resistor - Surface Mount ROHS,100,0.0006,Resistor,Chip Resistor - Surface Mount,,2kOhm,50V,±1%,,
C1729,Samsung Electro-Mechanics,0805,50V 22nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,100,0.0069,Capacitor,Multilayer Ceramic Capacitor MLCC - SMD/SMT,22n,,50V,±10%,,
C17415,UNI-ROYAL(Uniroyal Elec),0805,125mW Thick Film Resistors 150V ±1% ±200ppm/℃ 10Ω 0805 Chip Resistor - Surface Mount ROHS,100,0.0015,Resistor,Chip Resistor - Surface Mount,,10Ohm,150V,±1%,,
C98192,Samsung Electro-Mechanics,0805,50V 4.7uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,20,0.0195,Capacitor,Multilayer Ceramic Capacitor MLCC - SMD/SMT,4.7u,,50V,±10%,,
C167206,cjiang (Changjiang Microelectronics Tech),"SMD,4.2x4.4mm","4.5A 2.2uH Integrated molded inductor ±20% 5A SMD,4.2x4.4mm Power Inductors ROHS",5,0.1827,Inductor,Power Inductor,,,,±20%,2.2u,4.5A
C60488,YAGEO,0402,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 2kΩ 0402 Chip Resistor - Surface Mount ROHS,200,0.0006,Resistor,Chip Resistor - Surface Mount,,2kOhm,50V,±1%,,
C96446,Samsung Electro-Mechanics,0603,25V 10uF X5R ±20% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,100,0.0166,Capacitor,Multilayer Ceramic Capacitor MLCC - SMD/SMT,10u,,25V,±20%,,
C43473,UNI-ROYAL(Uniroyal Elec),0402,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 22.1kΩ 0402 Chip Resistor - Surface Mount ROHS,200,0.0005,Resistor,Chip Resistor - Surface Mount,,22.1kOhm,50V,±1%,,
C21376,UNI-ROYAL(Uniroyal Elec),0402,62.5mW Thick Film Resistors 50V ±5% 0Ω 0402 Chip Resistor - Surface Mount ROHS,200,0.0004,Resistor,Chip Resistor - Surface Mount,,0Ohm,50V,±5%,,
C307746,TDK,"SMD,1.6x2mm","1A 2.2uH ±20% 170mΩ SMD,1.6x2mm Inductors (SMD) ROHS",10,0.0746,Inductor,Inductor (SMD),,,,±20%,2.2u,1A
C11702,UNI-ROYAL(Uniroyal Elec),0402,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 1kΩ 0402 Chip Resistor - Surface Mount ROHS,200,0.0005,Resistor,Chip Resistor - Surface Mount,,1kOhm,50V,±1%,,
C114877,YAGEO,0402,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 470Ω 0402 Chip Resistor - Surface Mount ROHS,100,0.0006,Resistor,Chip Resistor - Surface Mount,,470Ohm,50V,±1%,,
C478888,TORCH,0603,50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,25,0.0043,Capacitor,Multilayer Ceramic Capacitor MLCC - SMD/SMT,100n,,50V,±10%,,
C352271,RESI,0805,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 12Ω 0805 Chip Resistor - Surface Mount ROHS,100,0.001,Resistor,Chip Resistor - Surface Mount,,12Ohm,150V,±1%,,
C17604,UNI-ROYAL(Uniroyal Elec),0805,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 2kΩ 0805 Chip Resistor - Surface Mount ROHS,200,0.0017,Resistor,Chip Resistor - Surface Mount,,2kOhm,150V,±1%,,
